"_id","Name","Direction","FarEndPoint","StartPoint","EndPoint","EstimatedTime","CreateDate"
"110185236","AYE",1,"TUAS CHECKPOINT","AYE/MCE INTERCHANGE","TELOK BLANGAH RD",1,1455722167883
"110185237","AYE",1,"TUAS CHECKPOINT","TELOK BLANGAH RD","LOWER DELTA RD",1,1455722167897
"110185238","AYE",1,"TUAS CHECKPOINT","LOWER DELTA RD","NORMANTON PARK",3,1455722167917
"110185239","AYE",1,"TUAS CHECKPOINT","NORMANTON PARK","NORTH BUONA VISTA RD",1,1455722167940
"110185240","AYE",1,"TUAS CHECKPOINT","NORTH BUONA VISTA RD","CLEMENTI RD",2,1455722167967
"110185241","AYE",1,"TUAS CHECKPOINT","CLEMENTI RD","WEST COAST RD",1,1455722168007
"110185242","AYE",1,"TUAS CHECKPOINT","WEST COAST RD","CLEMENTI AVE 6",1,1455722168033
"110185243","AYE",1,"TUAS CHECKPOINT","CLEMENTI AVE 6","JURONG TOWN HALL RD",2,1455722168043
"110185244","AYE",1,"TUAS CHECKPOINT","JURONG TOWN HALL RD","PENJURU RD",1,1455722168057
"110185245","AYE",1,"TUAS CHECKPOINT","PENJURU RD","JURONG PORT RD",1,1455722168073
"110185246","AYE",1,"TUAS CHECKPOINT","JURONG PORT RD","JURONG PIER RD",1,1455722168103
"110185247","AYE",1,"TUAS CHECKPOINT","JURONG PIER RD","PIONEER CIRCUS",2,1455722168110
"110185248","AYE",1,"TUAS CHECKPOINT","PIONEER CIRCUS","BENOI RD",2,1455722168207
"110185249","AYE",1,"TUAS CHECKPOINT","BENOI RD","AYE/PIE INTERCHANGE",2,1455722168213
"110185250","AYE",1,"TUAS CHECKPOINT","AYE/PIE INTERCHANGE","TUAS WEST RD",2,1455722168230
"110185251","AYE",1,"TUAS CHECKPOINT","TUAS WEST RD","TUAS WEST DRIVE",2,1455722168243
"110185252","AYE",1,"TUAS CHECKPOINT","TUAS WEST DRIVE","TUAS CHECKPOINT",1,1455722168250
"110185253","AYE",2,"CITY","TUAS CHECKPOINT","TUAS WEST RD",1,1455722168267
"110185254","AYE",2,"CITY","TUAS WEST RD","AYE/PIE INTERCHANGE",2,1455722168283
"110185255","AYE",2,"CITY","AYE/PIE INTERCHANGE","BENOI RD",2,1455722168307
"110185256","AYE",2,"CITY","BENOI RD","PIONEER CIRCUS",2,1455722168317
"110185257","AYE",2,"CITY","PIONEER CIRCUS","JALAN BOON LAY",2,1455722168333
"110185258","AYE",2,"CITY","JALAN BOON LAY","YUAN CHING RD",2,1455722168340
"110185259","AYE",2,"CITY","YUAN CHING RD","JURONG TOWN HALL RD",2,1455722168383
"110185260","AYE",2,"CITY","JURONG TOWN HALL RD","CLEMENTI AVE 6",2,1455722168403
"110185261","AYE",2,"CITY","CLEMENTI AVE 6","CLEMENTI AVE 2",1,1455722168463
"110185262","AYE",2,"CITY","CLEMENTI AVE 2","CLEMENTI RD",1,1455722168510
"110185263","AYE",2,"CITY","CLEMENTI RD","NORTH BUONA VISTA RD",2,1455722168520
"110185264","AYE",2,"CITY","NORTH BUONA VISTA RD","PORTSDOWN RD",1,1455722168533
