"_id","Name","Direction","FarEndPoint","StartPoint","EndPoint","EstimatedTime","CreateDate"
"110187742","AYE",1,"TUAS CHECKPOINT","AYE/MCE INTERCHANGE","TELOK BLANGAH RD",1,1455724730460
"110187743","AYE",1,"TUAS CHECKPOINT","TELOK BLANGAH RD","LOWER DELTA RD",1,1455724730473
"110187744","AYE",1,"TUAS CHECKPOINT","LOWER DELTA RD","NORMANTON PARK",3,1455724730487
"110187745","AYE",1,"TUAS CHECKPOINT","NORMANTON PARK","NORTH BUONA VISTA RD",1,1455724730500
"110187746","AYE",1,"TUAS CHECKPOINT","NORTH BUONA VISTA RD","CLEMENTI RD",2,1455724730533
"110187747","AYE",1,"TUAS CHECKPOINT","CLEMENTI RD","WEST COAST RD",1,1455724730557
"110187748","AYE",1,"TUAS CHECKPOINT","WEST COAST RD","CLEMENTI AVE 6",1,1455724730563
"110187749","AYE",1,"TUAS CHECKPOINT","CLEMENTI AVE 6","JURONG TOWN HALL RD",2,1455724730787
"110187750","AYE",1,"TUAS CHECKPOINT","JURONG TOWN HALL RD","PENJURU RD",1,1455724730800
"110187751","AYE",1,"TUAS CHECKPOINT","PENJURU RD","JURONG PORT RD",2,1455724730807
"110187752","AYE",1,"TUAS CHECKPOINT","JURONG PORT RD","JURONG PIER RD",1,1455724730900
"110187753","AYE",1,"TUAS CHECKPOINT","JURONG PIER RD","PIONEER CIRCUS",2,1455724730917
"110187754","AYE",1,"TUAS CHECKPOINT","PIONEER CIRCUS","BENOI RD",2,1455724730923
"110187755","AYE",1,"TUAS CHECKPOINT","BENOI RD","AYE/PIE INTERCHANGE",2,1455724731033
"110187756","AYE",1,"TUAS CHECKPOINT","AYE/PIE INTERCHANGE","TUAS WEST RD",2,1455724731050
"110187757","AYE",1,"TUAS CHECKPOINT","TUAS WEST RD","TUAS WEST DRIVE",2,1455724731053
"110187758","AYE",1,"TUAS CHECKPOINT","TUAS WEST DRIVE","TUAS CHECKPOINT",1,1455724731270
"110187759","AYE",2,"CITY","TUAS CHECKPOINT","TUAS WEST RD",1,1455724731280
"110187760","AYE",2,"CITY","TUAS WEST RD","AYE/PIE INTERCHANGE",2,1455724731287
"110187761","AYE",2,"CITY","AYE/PIE INTERCHANGE","BENOI RD",2,1455724731330
